54.7450,56.3190,55.8120,54.4240,54.1880,53.5480,52.6160,52.7910,52.4430,52.1840,52.1570,53.1670,53.9550,54.8620,55.4750,56.7190,56.6570,56.4830,56.9160,57.4850,56.6290,56.4130,56.6130,55.1200,54.1110,54.0800,53.5490,52.7670
54.8460,55.7760,55.1020,54.2870,54.1300,53.4120,52.5390,52.5640,51.8140,51.5500,51.6600,52.8060,53.6180,54.6600,55.2830,56.4040,56.3550,55.9910,56.3140,56.7920,55.7160,55.4750,55.6850,54.1720,52.9090,52.9610,52.8320,52.5220
55.1640,55.4740,54.8410,54.6020,54.3150,53.5390,52.7250,52.4680,51.4670,51.2680,51.5270,52.6710,53.5060,54.6400,55.3190,56.2620,56.3030,55.9290,56.1240,56.3480,55.1780,54.7800,54.7400,53.4080,52.0290,52.1050,52.1930,52.1760
55.7070,55.5900,55.1200,55.2870,54.7380,53.9120,53.1140,52.5130,51.4320,51.3600,51.7760,52.7830,53.6300,54.7830,55.5220,56.3040,56.4800,56.2740,56.3430,56.2320,55.0990,54.3780,53.9120,52.8960,51.5710,51.6240,51.7520,51.7850
56.4550,56.1520,55.8940,56.2520,55.4020,54.5320,53.7030,52.7630,51.7380,51.8330,52.3990,53.1750,54.0180,55.1190,55.9060,56.5750,56.8970,56.9780,56.9350,56.4800,55.4820,54.3140,53.3560,52.7050,51.5730,51.5720,51.6050,51.4750
57.1880,56.9050,56.8630,57.2290,56.1160,55.2060,54.3190,53.0880,52.2000,52.4730,53.1650,53.6700,54.4960,55.4980,56.3140,56.9210,57.3800,57.7900,57.6580,56.8920,56.0800,54.4190,52.9900,52.6860,51.8330,51.7610,51.6210,51.1900
58.1640,58.0380,58.1870,58.4490,57.1440,56.2020,55.2510,53.7930,53.0780,53.5160,54.3000,54.5390,55.3380,56.2200,57.0500,57.6320,58.2030,58.9270,58.7290,57.7080,57.0950,54.9690,53.1390,53.1280,52.5860,52.4400,52.0950,51.3120
59.1170,59.2090,59.5120,59.6190,58.1980,57.2360,56.2320,54.6110,54.0740,54.6500,55.4880,55.4950,56.2590,57.0200,57.8510,58.4320,59.0870,60.0740,59.8310,58.6180,58.1910,55.6730,53.5330,53.7510,53.5100,53.2950,52.7480,51.6260
60.0080,60.3260,60.7420,60.6880,59.2160,58.2480,57.2050,55.4800,55.1070,55.7880,56.6490,56.4660,57.1940,57.8410,58.6630,59.2530,59.9670,61.1530,60.8840,59.5380,59.2710,56.4540,54.0910,54.4810,54.5080,54.2330,53.5080,52.0960
60.9100,61.4300,61.9210,61.7250,60.2490,59.2880,58.2250,56.4420,56.2140,56.9700,57.8250,57.4980,58.1870,58.7330,59.5390,60.1420,60.8920,62.2150,61.9340,60.5080,60.3700,57.3470,54.8390,55.3500,55.6050,55.2820,54.4070,52.7690
