-0.000142187,-0.00187042,-0.00189114,-0.00255070,-0.00454168,-0.00650624,-0.00767734,-0.00853750,-0.00980202,-0.00877747,-0.00773212,-0.00702464,-0.00518209,-0.00434718,-0.00403268,-0.00355520,-0.00305569,-0.00394057,-0.00496349,-0.00675495,-0.00776079,-0.00898467,-0.0106352,-0.0103514,-0.00898603,-0.00847963,-0.00726071,-0.00648820
-0.000331581,-0.00239009,-0.00240222,-0.00316540,-0.00535270,-0.00750610,-0.00881087,-0.00980039,-0.0112301,-0.0101528,-0.00902562,-0.00825446,-0.00624666,-0.00529336,-0.00491629,-0.00437581,-0.00380811,-0.00473880,-0.00585586,-0.00779867,-0.00888261,-0.0102232,-0.0120435,-0.0117899,-0.0103748,-0.00988609,-0.00869319,-0.00776869
-0.000586212,-0.00304911,-0.00304998,-0.00393766,-0.00635638,-0.00872886,-0.0101946,-0.0113435,-0.0129725,-0.0118380,-0.0106219,-0.00977616,-0.00758101,-0.00648453,-0.00603223,-0.00541051,-0.00476207,-0.00573879,-0.00696865,-0.00907981,-0.0102509,-0.0117235,-0.0137375,-0.0135267,-0.0120711,-0.0116203,-0.0104866,-0.00938478
-0.000905722,-0.00384951,-0.00384450,-0.00488226,-0.00756637,-0.0101870,-0.0118376,-0.0131731,-0.0150363,-0.0138464,-0.0125302,-0.0116009,-0.00919571,-0.00793029,-0.00738351,-0.00666981,-0.00592357,-0.00694631,-0.00830010,-0.0106031,-0.0118705,-0.0134991,-0.0157375,-0.0155849,-0.0140948,-0.0136948,-0.0126514,-0.0113249
-0.00128138,-0.00480059,-0.00477741,-0.00598838,-0.00896976,-0.0118693,-0.0137347,-0.0152895,-0.0174260,-0.0161782,-0.0147549,-0.0137308,-0.0110889,-0.00962491,-0.00897053,-0.00814836,-0.00729147,-0.00836040,-0.00985519,-0.0123695,-0.0137443,-0.0155425,-0.0180359,-0.0179586,-0.0164421,-0.0161077,-0.0151856,-0.0135973
-0.00172830,-0.00588319,-0.00584540,-0.00724944,-0.0105644,-0.0137747,-0.0158796,-0.0176812,-0.0201244,-0.0188164,-0.0172729,-0.0161453,-0.0132450,-0.0115598,-0.0107794,-0.00983668,-0.00885283,-0.00996822,-0.0116165,-0.0143649,-0.0158542,-0.0178431,-0.0206190,-0.0206337,-0.0190980,-0.0188472,-0.0180796,-0.0161840
-0.00227010,-0.00721252,-0.00715358,-0.00879590,-0.0124979,-0.0160693,-0.0184564,-0.0205560,-0.0233646,-0.0219989,-0.0203220,-0.0190745,-0.0158743,-0.0139203,-0.0129871,-0.0118977,-0.0107641,-0.0119251,-0.0137543,-0.0167685,-0.0183893,-0.0205991,-0.0237073,-0.0238385,-0.0223003,-0.0221604,-0.0216083,-0.0193397
-0.00294280,-0.00881851,-0.00873386,-0.0106539,-0.0148038,-0.0187893,-0.0215096,-0.0239663,-0.0272095,-0.0257894,-0.0239649,-0.0225794,-0.0190365,-0.0167627,-0.0156427,-0.0143778,-0.0130650,-0.0142679,-0.0163059,-0.0196245,-0.0213929,-0.0238567,-0.0273480,-0.0276300,-0.0261072,-0.0261135,-0.0258468,-0.0231303
-0.00387022,-0.0110017,-0.0108849,-0.0131768,-0.0178943,-0.0224036,-0.0255524,-0.0284803,-0.0322954,-0.0308283,-0.0288245,-0.0272695,-0.0233066,-0.0206101,-0.0192420,-0.0177508,-0.0162008,-0.0174332,-0.0197304,-0.0234175,-0.0253573,-0.0281406,-0.0321214,-0.0326245,-0.0311696,-0.0313989,-0.0315745,-0.0282453
-0.00498310,-0.0136051,-0.0134449,-0.0161763,-0.0215505,-0.0266630,-0.0303146,-0.0337998,-0.0382814,-0.0367691,-0.0345652,-0.0328109,-0.0283711,-0.0251772,-0.0235135,-0.0217533,-0.0199259,-0.0211775,-0.0237732,-0.0278819,-0.0300197,-0.0331734,-0.0377234,-0.0385020,-0.0371506,-0.0376556,-0.0383826,-0.0343246
-0.00659341,-0.0172875,-0.0170677,-0.0204013,-0.0266164,-0.0324823,-0.0367791,-0.0410035,-0.0463392,-0.0447834,-0.0423289,-0.0403140,-0.0353111,-0.0314647,-0.0294056,-0.0272961,-0.0251083,-0.0263168,-0.0292816,-0.0339102,-0.0362960,-0.0399402,-0.0452519,-0.0464871,-0.0453826,-0.0463213,-0.0479090,-0.0428296
