330.520,330.330,330.190,330.050,330.180,329.990,329.390,329.070,329.030,328.610,328.000,328.030,327.950,327.390,327.500,327.700,328.200,328.790,328.600,328.580,327.810,327.230,327.460,327.790,326.960,326.880,328.340,328.270,327.900,327.300,326.690,325.920,326.090,326.650,327.160,327.050,327.150,327.400,328.020,328.660,328.710,328.840,329.120,329.360,329.630,329.820,329.840,329.910,329.580,329.390
317.500,317.290,317.140,316.980,317.120,316.910,316.260,315.910,315.870,315.400,314.740,314.770,314.690,314.070,314.200,314.410,314.960,315.600,315.400,315.380,314.530,313.900,314.150,314.500,313.600,313.510,315.110,315.030,314.630,313.980,313.310,312.470,312.650,313.260,313.820,313.700,313.800,314.090,314.760,315.460,315.510,315.660,315.960,316.230,316.520,316.730,316.750,316.830,316.470,316.250
304.970,304.740,304.570,304.410,304.560,304.330,303.610,303.230,303.190,302.680,301.950,301.990,301.890,301.220,301.360,301.590,302.190,302.890,302.670,302.650,301.720,301.030,301.300,301.690,300.700,300.610,302.360,302.270,301.830,301.120,300.390,299.460,299.660,300.330,300.940,300.810,300.930,301.240,301.980,302.750,302.790,302.960,303.290,303.580,303.900,304.130,304.150,304.240,303.840,303.610
293.420,293.180,292.990,292.810,292.970,292.730,291.940,291.520,291.480,290.920,290.120,290.160,290.060,289.320,289.470,289.730,290.390,291.150,290.910,290.880,289.870,289.120,289.410,289.840,288.760,288.650,290.570,290.470,289.990,289.210,288.410,287.400,287.620,288.340,289.020,288.880,289.000,289.340,290.150,290.990,291.040,291.220,291.580,291.900,292.260,292.510,292.530,292.620,292.190,291.940
283.880,283.610,283.410,283.210,283.390,283.120,282.260,281.800,281.750,281.140,280.270,280.310,280.200,279.390,279.550,279.840,280.560,281.400,281.130,281.100,279.990,279.160,279.490,279.960,278.770,278.660,280.760,280.650,280.120,279.270,278.390,277.280,277.520,278.320,279.060,278.900,279.040,279.410,280.300,281.220,281.280,281.470,281.870,282.220,282.600,282.880,282.900,283.000,282.530,282.250
274.060,273.770,273.540,273.320,273.520,273.230,272.290,271.780,271.730,271.060,270.110,270.150,270.030,269.150,269.330,269.640,270.430,271.340,271.050,271.020,269.810,268.900,269.250,269.770,268.470,268.340,270.640,270.530,269.950,269.010,268.050,266.840,267.100,267.980,268.780,268.620,268.760,269.170,270.140,271.150,271.210,271.430,271.860,272.240,272.660,272.970,272.990,273.100,272.590,272.280
264.280,263.960,263.720,263.480,263.690,263.370,262.340,261.790,261.730,261.000,259.950,260.000,259.870,258.900,259.100,259.440,260.300,261.310,260.990,260.950,259.630,258.630,259.020,259.580,258.160,258.020,260.540,260.420,259.780,258.760,257.710,256.380,256.670,257.620,258.510,258.320,258.480,258.930,259.990,261.090,261.160,261.400,261.870,262.290,262.750,263.080,263.110,263.230,262.670,262.330
254.340,253.990,253.730,253.460,253.700,253.340,252.220,251.610,251.550,250.750,249.610,249.660,249.520,248.460,248.670,249.040,249.990,251.090,250.740,250.700,249.250,248.160,248.590,249.200,247.650,247.490,250.250,250.110,249.420,248.300,247.150,245.700,246.010,247.060,248.020,247.820,248.000,248.490,249.650,250.850,250.930,251.190,251.710,252.160,252.670,253.030,253.060,253.190,252.580,252.210
244.450,244.070,243.770,243.490,243.740,243.360,242.130,241.460,241.400,240.520,239.270,239.330,239.170,238.010,238.240,238.650,239.690,240.890,240.510,240.470,238.880,237.690,238.150,238.830,237.120,236.960,239.970,239.820,239.060,237.830,236.580,234.990,235.330,236.480,237.530,237.310,237.510,238.040,239.310,240.630,240.710,241.000,241.570,242.060,242.620,243.020,243.050,243.190,242.520,242.120
234.760,234.340,234.020,233.700,233.990,233.560,232.220,231.490,231.420,230.460,229.090,229.150,228.980,227.710,227.970,228.410,229.550,230.860,230.440,230.400,228.660,227.360,227.860,228.600,226.740,226.560,229.860,229.690,228.860,227.520,226.140,224.400,224.780,226.030,227.190,226.950,227.160,227.740,229.140,230.580,230.670,230.980,231.600,232.150,232.760,233.190,233.220,233.380,232.640,232.200
