177.310,177.372,177.430,177.568,177.658,177.676,177.728,177.746,177.642,177.610,177.700,177.750,177.806,177.880,177.942,177.946,177.892,177.914,177.980,177.920,177.742,177.650,177.574,177.462,177.458,177.616,177.724,177.742,177.804,177.922,178.026,177.962,177.950,177.982,177.984,177.942,178.050
170.752,170.820,170.884,171.032,171.128,171.148,171.204,171.224,171.112,171.078,171.174,171.228,171.288,171.370,171.438,171.444,171.386,171.408,171.478,171.412,171.218,171.118,171.036,170.916,170.914,171.086,171.204,171.224,171.290,171.416,171.528,171.458,171.446,171.482,171.484,171.438,171.554
164.372,164.444,164.512,164.672,164.776,164.796,164.858,164.880,164.758,164.722,164.826,164.882,164.946,165.034,165.108,165.114,165.052,165.078,165.154,165.082,164.874,164.768,164.678,164.548,164.544,164.728,164.854,164.874,164.946,165.084,165.206,165.130,165.118,165.156,165.158,165.108,165.234
158.264,158.344,158.418,158.592,158.706,158.728,158.794,158.818,158.688,158.648,158.760,158.822,158.892,158.986,159.066,159.072,159.004,159.030,159.112,159.036,158.812,158.696,158.600,158.460,158.456,158.656,158.792,158.816,158.892,159.040,159.170,159.090,159.076,159.118,159.120,159.068,159.204
152.306,152.392,152.472,152.660,152.782,152.806,152.876,152.902,152.760,152.716,152.836,152.904,152.978,153.082,153.168,153.176,153.104,153.134,153.222,153.140,152.896,152.770,152.666,152.514,152.510,152.726,152.872,152.896,152.980,153.140,153.282,153.196,153.182,153.226,153.228,153.170,153.316
146.476,146.568,146.654,146.856,146.988,147.012,147.088,147.116,146.964,146.918,147.050,147.124,147.204,147.314,147.406,147.412,147.334,147.366,147.462,147.374,147.112,146.976,146.864,146.700,146.696,146.930,147.088,147.114,147.204,147.376,147.528,147.434,147.418,147.466,147.468,147.406,147.564
140.796,140.896,140.988,141.206,141.348,141.376,141.458,141.488,141.324,141.274,141.416,141.494,141.582,141.700,141.800,141.808,141.724,141.758,141.862,141.766,141.482,141.336,141.214,141.038,141.032,141.284,141.454,141.484,141.580,141.768,141.932,141.832,141.814,141.866,141.868,141.802,141.972
135.246,135.352,135.452,135.686,135.840,135.870,135.960,135.990,135.814,135.760,135.914,135.998,136.094,136.222,136.330,136.338,136.248,136.286,136.398,136.294,135.988,135.830,135.698,135.508,135.502,135.774,135.958,135.990,136.094,136.296,136.474,136.364,136.344,136.400,136.402,136.328,136.512
129.850,129.966,130.074,130.328,130.494,130.526,130.622,130.656,130.464,130.406,130.570,130.662,130.766,130.906,131.022,131.032,130.934,130.972,131.092,130.980,130.650,130.480,130.340,130.134,130.128,130.422,130.620,130.652,130.766,130.984,131.176,131.058,131.038,131.098,131.100,131.020,131.218
124.602,124.728,124.846,125.120,125.300,125.334,125.438,125.474,125.268,125.204,125.384,125.482,125.594,125.744,125.870,125.878,125.772,125.814,125.944,125.822,125.466,125.282,125.130,124.908,124.902,125.220,125.436,125.472,125.594,125.830,126.036,125.908,125.886,125.952,125.954,125.870,126.084
119.492,119.626,119.752,120.048,120.242,120.280,120.392,120.432,120.208,120.140,120.332,120.440,120.560,120.724,120.860,120.870,120.754,120.800,120.940,120.808,120.424,120.226,120.060,119.820,119.814,120.156,120.388,120.428,120.558,120.812,121.036,120.898,120.874,120.946,120.948,120.856,121.088
114.526,114.672,114.810,115.130,115.338,115.378,115.498,115.540,115.298,115.224,115.432,115.548,115.676,115.852,116.000,116.012,115.888,115.938,116.090,115.948,115.532,115.318,115.140,114.880,114.872,115.242,115.494,115.536,115.678,115.954,116.194,116.044,116.018,116.096,116.098,116.000,116.250
109.678,109.836,109.984,110.330,110.556,110.600,110.732,110.778,110.518,110.440,110.664,110.788,110.928,111.118,111.276,111.288,111.154,111.208,111.372,111.218,110.770,110.538,110.346,110.066,110.060,110.458,110.730,110.776,110.928,111.224,111.486,111.324,111.296,111.380,111.382,111.274,111.544
104.972,105.142,105.302,105.676,105.920,105.966,106.108,106.158,105.876,105.790,106.032,106.166,106.316,106.522,106.692,106.706,106.562,106.620,106.796,106.632,106.148,105.898,105.692,105.390,105.382,105.812,106.104,106.152,106.316,106.636,106.918,106.744,106.714,106.804,106.806,106.690,106.982
100.390,100.572,100.744,101.146,101.410,101.460,101.612,101.664,101.360,101.266,101.528,101.674,101.838,102.058,102.244,102.258,102.102,102.164,102.356,102.178,101.655,101.385,101.161,100.835,100.825,101.290,101.606,101.660,101.838,102.184,102.488,102.300,102.266,102.362,102.364,102.238,102.552
95.7836,95.9816,96.1674,96.6020,96.8866,96.9410,97.1054,97.1628,96.8348,96.7342,97.0168,97.1732,97.3492,97.5878,97.7876,97.8028,97.6346,97.7026,97.9084,97.7162,97.1520,96.8614,96.6192,96.2674,96.2574,96.7594,97.1002,97.1576,97.3502,97.7234,98.0514,97.8488,97.8134,97.9180,97.9214,97.7872,98.1268
91.1504,91.3646,91.5658,92.0362,92.3444,92.4032,92.5812,92.6434,92.2884,92.1796,92.4854,92.6548,92.8452,93.1036,93.3196,93.3360,93.1540,93.2276,93.4502,93.2422,92.6314,92.3166,92.0542,91.6732,91.6624,92.2060,92.5750,92.6372,92.8458,93.2498,93.6048,93.3860,93.3478,93.4608,93.4644,93.3190,93.6860
